Electorate,Suburb,Postcode
Albany,Albany,6330
Albany,Middleton Beach,6330
Albany,Spencer Park,6330
Albany,Yakamia,6330
Armadale,Armadale,6112
Armadale,Kelmscott,6111
Armadale,Roleystone,6111
Armadale,Seville Grove,6112
Balcatta,Balcatta,6021
Balcatta,Gwelup,6018
Balcatta,Osborne Park,6017
Balcatta,Stirling,6021
Baldivis,Baldivis,6171
Baldivis,Golden Bay,6174
Baldivis,Wellard,6170
Bassendean,Ashfield,6054
Bassendean,Bassendean,6054
Bassendean,Eden Hill,6054
Bateman,Bateman,6150
Bateman,Bull Creek,6149
Bateman,Leeming,6149
Bateman,Willetton,6155
Belmont,Ascot,6104
Belmont,Belmont,6104
Belmont,Cloverdale,6105
Belmont,Redcliffe,6104
Bibra Lake,Bibra Lake,6163
Bibra Lake,Coolbellup,6163
Bibra Lake,North Lake,6163
Bicton,Attadale,6156
Bicton,Bicton,6157
Bicton,East Fremantle,6158
Bicton,Palmyra,6157
Bunbury,Bunbury,6230
Bunbury,East Bunbury,6230
Bunbury,South Bunbury,6230
Bunbury,Withers,6230
Butler,Butler,6036
Butler,Jindalee,6036
Butler,Merriwa,6030
Butler,Ridgewood,6030
Cannington,Cannington,6107
Cannington,Ferndale,6148
Cannington,Lynwood,6147
Cannington,Queens Park,6107
Carine,Carine,6020
Carine,Duncraig,6023
Carine,Marmion,6020
Carine,Watermans Bay,6020
Central Wheatbelt,Merredin,6415
Central Wheatbelt,Narrogin,6312
Central Wheatbelt,Northam,6401
Central Wheatbelt,York,6302
Churchlands,Churchlands,6018
Churchlands,City Beach,6015
Churchlands,Floreat,6014
Churchlands,Wembley,6014
Cockburn,Coogee,6166
Cockburn,Hamilton Hill,6163
Cockburn,Munster,6166
Cockburn,Spearwood,6163
Collie - Preston,Brunswick,6224
Collie - Preston,Collie,6225
Collie - Preston,Donnybrook,6239
Collie - Preston,Harvey,6220
Cottesloe,Claremont,6010
Cottesloe,Cottesloe,6011
Cottesloe,Mosman Park,6012
Cottesloe,Peppermint Grove,6011
Darling Range,Armadale,6112
Darling Range,Byford,6122
Darling Range,Jarrahdale,6124
Darling Range,Serpentine,6125
Dawesville,Bouvard,6211
Dawesville,Dawesville,6211
Dawesville,Halls Head,6210
Dawesville,Herron,6211
Forrestfield,Forrestfield,6058
Forrestfield,High Wycombe,6057
Forrestfield,Maida Vale,6057
Forrestfield,Wattle Grove,6107
Fremantle,Beaconsfield,6162
Fremantle,Fremantle,6160
Fremantle,Hilton,6163
Fremantle,White Gum Valley,6162
Geraldton,Bluff Point,6530
Geraldton,Geraldton,6530
Geraldton,Rangeway,6530
Geraldton,Utakarra,6530
Girrawheen,Balga,6061
Girrawheen,Girrawheen,6064
Girrawheen,Koondoola,6064
Girrawheen,Marangaroo,6064
Hillarys,Craigie,6025
Hillarys,Hillarys,6025
Hillarys,Kallaroo,6025
Hillarys,Padbury,6025
Jandakot,Atwell,6164
Jandakot,Banjup,6164
Jandakot,Jandakot,6164
Jandakot,Success,6164
Joondalup,Connolly,6027
Joondalup,Edgewater,6027
Joondalup,Heathridge,6027
Joondalup,Joondalup,6027
Kalamunda,Gooseberry Hill,6076
Kalamunda,Kalamunda,6076
Kalamunda,Lesmurdie,6076
Kalamunda,Walliston,6076
Kalgoorlie,Boulder,6432
Kalgoorlie,Kalgoorlie,6430
Kalgoorlie,Lamington,6430
Kalgoorlie,Somerville,6430
Kimberley,Broome,6725
Kimberley,Derby,6728
Kimberley,Fitzroy Crossing,6765
Kimberley,Kununurra,6743
Kingsley,Greenwood,6024
Kingsley,Kingsley,6026
Kingsley,Warwick,6024
Kingsley,Woodvale,6026
Kwinana,Calista,6167
Kwinana,Kwinana,6167
Kwinana,Medina,6167
Kwinana,Orelia,6167
Landsdale,Alexander Heights,6064
Landsdale,Darch,6065
Landsdale,Landsdale,6065
Landsdale,Madeley,6065
Mandurah,Greenfields,6210
Mandurah,Lakelands,6210
Mandurah,Mandurah,6210
Mandurah,Meadow Springs,6210
Maylands,Bedford,6052
Maylands,Inglewood,6052
Maylands,Maylands,6051
Maylands,Mount Lawley,6050
Mid - West,Dongara,6525
Mid - West,Geraldton,6530
Mid - West,Kalbarri,6536
Mid - West,Mullewa,6630
Midland,Guildford,6055
Midland,Midland,6056
Midland,Midvale,6056
Midland,Woodbridge,6056
Mindarie,Banksia Grove,6031
Mindarie,Clarkson,6030
Mindarie,Mindarie,6030
Mindarie,Quinns Rocks,6030
Morley,Beechboro,6063
Morley,Embleton,6062
Morley,Morley,6062
Morley,Noranda,6062
Mount Lawley,Highgate,6003
Mount Lawley,North Perth,6006
Mount Lawley,Northbridge,6003
Murray - Wellington,Mandurah,6210
Murray - Wellington,Pinjarra,6208
Murray - Wellington,Waroona,6215
Murray - Wellington,Yarloop,6218
Nedlands,Crawley,6009
Nedlands,Dalkeith,6009
Nedlands,Nedlands,6009
Nedlands,Shenton Park,6008
Oakford,Byford,6122
Oakford,Darling Downs,6122
Oakford,Mundijong,6123
Oakford,Oakford,6121
Perth,East Perth,6004
Perth,Northbridge,6003
Perth,Perth,6000
Perth,West Perth,6005
Pilbara,Karratha,6714
Pilbara,Newman,6753
Pilbara,Port Hedland,6721
Pilbara,Tom Price,6751
Riverton,Parkwood,6147
