Federal_Electorate,Suburb,Postcode
Perth,Perth,6000
Perth,Northbridge,6003
Perth,West Perth,6005
Perth,East Perth,6004
Fremantle,Fremantle,6160
Fremantle,North Fremantle,6159
Fremantle,South Fremantle,6162
Swan,Midland,6056
Swan,Guildford,6055
Swan,Belmont,6104
Tangney,Willetton,6155
Tangney,Riverton,6148
Tangney,Shelley,6148
Curtin,Cottesloe,6011
Curtin,Claremont,6010
Curtin,Nedlands,6009
Brand,Rockingham,6168
Brand,Baldivis,6171
Brand,Safety Bay,6169
Canning,Cannington,6107
Canning,Queens Park,6107
Canning,Bentley,6102
Hasluck,Kalamunda,6076
Hasluck,Forrestfield,6058
Hasluck,High Wycombe,6057
Pearce,Ellenbrook,6069
Pearce,The Vines,6069
Pearce,Bullsbrook,6084
Cowan,Balcatta,6021
Cowan,Stirling,6021
Cowan,Innaloo,6018
Moore,Joondalup,6027
Moore,Wanneroo,6065
Moore,Quinns Rocks,6030
Burt,Armadale,6112
Burt,Kelmscott,6111
Burt,Gosnells,6110
Forrest,Bunbury,6230
Forrest,Busselton,6280
Forrest,Collie,6225
Durack,Geraldton,6530
Durack,Broome,6725
Durack,Kalgoorlie,6430
O'connor,Albany,6330
O'connor,Esperance,6450
O'connor,Katanning,6317
Bullwinkel,Mandurah,6210
Bullwinkel,Pinjarra,6208
Bullwinkel,Singleton,6175
